出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110217,11101,1101,台泥,水泥工業,7517896,10821264,8084465,-30.52663718,-7.008119894,7517896,8084465,-7.008119894,"以上營收不包含停業部門營收:111年1月 0 仟元暨110年1月511,796仟元；111年1-1月 0 仟元暨110年1-1月511,796仟元"
1110217,11101,1102,亞泥,水泥工業,7420726,9143837,7436331,-18.84450696,-0.209848109,7420726,7436331,-0.209848109,-
1110217,11101,1103,嘉泥,水泥工業,158052,171518,195482,-7.851071025,-19.147543,158052,195482,-19.147543,-
1110217,11101,1104,環泥,水泥工業,592322,569625,511466,3.98455124,15.80867545,592322,511466,15.80867545,-
1110217,11101,1108,幸福,水泥工業,324664,319368,417355,1.658275093,-22.20915048,324664,417355,-22.20915048,-
1110217,11101,1109,信大,水泥工業,566897,777783,739226,-27.11373224,-23.31208588,566897,739226,-23.31208588,-
1110217,11101,1110,東泥,水泥工業,166858,184874,137866,-9.745015524,21.02911523,166858,137866,21.02911523,-
1110217,11101,1201,味全,食品工業,1668787,1614562,1461118,3.358495988,14.21302044,1668787,1461118,14.21302044,-
1110217,11101,1203,味王,食品工業,564100,507831,545268,11.08026095,3.453714504,564100,545268,3.453714504,-
1110217,11101,1210,大成,食品工業,9956918,9224406,8480630,7.941020809,17.40776334,9956918,8480630,17.40776334,-
1110217,11101,1213,大飲,食品工業,45833,31545,32550,45.29402441,40.80798771,45833,32550,40.80798771,-
1110217,11101,1215,卜蜂,食品工業,2672823,2438193,2037460,9.62311023,31.18407233,2672823,2037460,31.18407233,-
1110217,11101,1216,統一,食品工業,48049485,37291418,45194815,28.84864019,6.316366158,48049485,45194815,6.316366158,-
1110217,11101,1217,愛之味,食品工業,442813,314921,411016,40.61081986,7.736195185,442813,411016,7.736195185,-
1110217,11101,1218,泰山,食品工業,978592,816534,845756,19.84706087,15.70618476,978592,845756,15.70618476,-
1110217,11101,1219,福壽,食品工業,1433167,1383471,1326083,3.592124446,8.075210978,1433167,1326083,8.075210978,-
1110217,11101,1220,台榮,食品工業,322989,316808,262424,1.951023964,23.07906289,322989,262424,23.07906289,-
1110217,11101,1225,福懋油,食品工業,1291723,1251774,1076979,3.191390778,19.93947886,1291723,1076979,19.93947886,-
1110217,11101,1227,佳格,食品工業,3169810,3562124,4585987,-11.01348521,-30.88052801,3169810,4585987,-30.88052801,-
1110217,11101,1229,聯華,食品工業,873750,1166930,761338,-25.12404343,14.76505836,873750,761338,14.76505836,-
1110217,11101,1231,聯華食,食品工業,1024108,1063115,949444,-3.669123284,7.863970914,1024108,949444,7.863970914,-
1110217,11101,1232,大統益,食品工業,2063315,1782666,1659919,15.7432183,24.30214968,2063315,1659919,24.30214968,-
1110217,11101,1233,天仁,食品工業,188123,192899,170575,-2.475907081,10.28755679,188123,170575,10.28755679,-
1110217,11101,1234,黑松,食品工業,940229,881319,835074,6.684299329,12.59229721,940229,835074,12.59229721,-
1110217,11101,1235,興泰,食品工業,1218,1227,1833,-0.733496333,-33.55155483,1218,1833,-33.55155483,-
1110217,11101,1236,宏亞,食品工業,283748,263522,329513,7.67526051,-13.88867814,283748,329513,-13.88867814,-
1110217,11101,1256,鮮活果汁-KY,食品工業,382345,326762,470300,17.01023987,-18.70189241,382345,470300,-18.70189241,-
1110217,11101,1301,台塑,塑膠工業,23937795,25199437,19215607,-5.006627727,24.57475322,23937795,19215607,24.57475322,-
1110217,11101,1303,南亞,塑膠工業,35266502,34539153,29346765,2.105868085,20.17168502,35266502,29346765,20.17168502,-
1110217,11101,1304,台聚,塑膠工業,6100816,5787813,5316928,5.407966705,14.74325024,6100816,5316928,14.74325024,-
1110217,11101,1305,華夏,塑膠工業,1890241,1338864,1603671,41.1824502,17.86962538,1890241,1603671,17.86962538,-
1110217,11101,1307,三芳,塑膠工業,837560,678141,949887,23.50823796,-11.82530133,837560,949887,-11.82530133,-
1110217,11101,1308,亞聚,塑膠工業,759128,916679,653244,-17.18715057,16.20895102,759128,653244,16.20895102,-
1110217,11101,1309,台達化,塑膠工業,1480381,1560037,1456463,-5.106032742,1.64219757,1480381,1456463,1.64219757,-
1110217,11101,1310,台苯,塑膠工業,1118245,919556,730042,21.60705819,53.17543374,1118245,730042,53.17543374,主要產品之數量及價格均較去年成長。
1110217,11101,1312,國喬,塑膠工業,1637284,1760112,1739674,-6.978419555,-5.88558546,1637284,1739674,-5.88558546,-
1110217,11101,1313,聯成,塑膠工業,5982448,7605814,5994488,-21.34375098,-0.200851182,5982448,5994488,-0.200851182,-
1110217,11101,1314,中石化,塑膠工業,2541068,2916368,2541752,-12.86874633,-0.026910572,2541068,2541752,-0.026910572,-
1110217,11101,1315,達新,塑膠工業,227241,197286,185347,15.18354065,22.60300949,227241,185347,22.60300949,-
1110217,11101,1316,上曜,建材營造,104175,77215,107981,34.91549569,-3.524694159,104175,107981,-3.524694159,-
1110217,11101,1319,東陽,汽車工業,1743989,1692914,1486448,3.016987278,17.32593404,1743989,1486448,17.32593404,-
1110217,11101,1321,大洋,塑膠工業,596974,530841,464301,12.45815602,28.57478231,596974,464301,28.57478231,-
1110217,11101,1323,永裕,塑膠工業,364733,354010,279444,3.02901048,30.52096306,364733,279444,30.52096306,-
1110217,11101,1324,地球,塑膠工業,87732,101103,82015,-13.22512685,6.970676096,87732,82015,6.970676096,-
1110217,11101,1325,恆大,塑膠工業,67973,53580,218816,26.86263531,-68.93600102,67973,218816,-68.93600102,因新冠肺炎防疫物資競爭激烈，致營收較去年同期減少。
1110217,11101,1326,台化,塑膠工業,30314286,31274998,26749217,-3.07182114,13.32775086,30314286,26749217,13.32775086,-
1110217,11101,1337,再生-KY,塑膠工業,63028,51042,107554,23.48262215,-41.39873924,63028,107554,-41.39873924,-
1110217,11101,1338,廣華-KY,汽車工業,782314,824576,647553,-5.125300761,20.81080622,782314,647553,20.81080622,-
1110217,11101,1339,昭輝,汽車工業,229012,142241,197300,61.0028051,16.0729853,229012,197300,16.0729853,-
1110217,11101,1340,勝悅-KY,塑膠工業,35025,69361,57252,-49.50332319,-38.82309788,35025,57252,-38.82309788,-
1110217,11101,1341,富林-KY,塑膠工業,219638,291644,228998,-24.68969017,-4.087371942,219638,228998,-4.087371942,-
1110217,11101,1342,八貫,其他,200697,247884,160745,-19.03592003,24.85427229,200697,160745,24.85427229,-
1110217,11101,1402,遠東新,紡織纖維,20470940,22302476,19154653,-8.212254101,6.87189165,20470940,19154653,6.87189165,-
1110217,11101,1409,新纖,紡織纖維,4120985,3704921,3145297,11.23003702,31.02053638,4120985,3145297,31.02053638,-
1110217,11101,1410,南染,紡織纖維,21405,28325,36064,-24.43071492,-40.64718279,21405,36064,-40.64718279,-
1110217,11101,1413,宏洲,紡織纖維,285966,262444,202561,8.962673942,41.17525091,285966,202561,41.17525091,因去年疫情關係基期低
1110217,11101,1414,東和,紡織纖維,57978,71240,69139,-18.6159461,-16.14284268,57978,69139,-16.14284268,-
1110217,11101,1416,廣豐,其他,19443,22997,20099,-15.45418968,-3.263843972,19443,20099,-3.263843972,-
1110217,11101,1417,嘉裕,紡織纖維,131332,152265,126957,-13.74774242,3.446048662,131332,126957,3.446048662,-
1110217,11101,1418,東華,紡織纖維,1751,909,6471,92.62926293,-72.94081286,1751,6471,-72.94081286,因本公司110.4.1董事會通過亞克力棉生產線停止生產。
1110217,11101,1419,新紡,紡織纖維,260430,299528,192552,-13.05320371,35.25177614,260430,192552,35.25177614,-
1110217,11101,1423,利華,紡織纖維,18968,20778,17467,-8.711136779,8.593347455,18968,17467,8.593347455,-
1110217,11101,1432,大魯閣,貿易百貨,79350,90758,75403,-12.56969083,5.23453974,79350,75403,5.23453974,-
1110217,11101,1434,福懋,紡織纖維,2904198,2962335,2591722,-1.962539686,12.05669435,2904198,2591722,12.05669435,-
1110217,11101,1435,中福,其他,1145,1191,1226,-3.862300588,-6.60685155,1145,1226,-6.60685155,-
1110217,11101,1436,華友聯,建材營造,511,34053,675,-98.499398,-24.2962963,511,675,-24.2962963,-
1110217,11101,1437,勤益控,其他,66588,56477,90279,17.90286311,-26.24198319,66588,90279,-26.24198319,-
1110217,11101,1438,三地開發,建材營造,12,7,0,71.42857143,,12,0,,"110年1月銷售商品0仟元,111年1月銷售商品12仟元,故營收變化大。"
1110217,11101,1439,中和,紡織纖維,2471,2912,6140,-15.14423077,-59.75570033,2471,6140,-59.75570033,主要客戶受疫情影響需求，造成營收減少。
1110217,11101,1440,南紡,紡織纖維,1784787,1889526,1721188,-5.543136215,3.695064107,1784787,1721188,3.695064107,-
1110217,11101,1441,大東,紡織纖維,135504,142124,152172,-4.657904365,-10.95339484,135504,152172,-10.95339484,-
1110217,11101,1442,名軒,建材營造,46353,26824,136979,72.80420519,-66.16050635,46353,136979,-66.16050635,本月認收4戶，去年同期認收13戶；本年累計認收4戶，去年累計認收13戶，故兩期差異大。
1110217,11101,1443,立益,其他,80108,89453,56609,-10.44682683,41.51106714,80108,56609,41.51106714,-
1110217,11101,1444,力麗,紡織纖維,1047806,1243528,749992,-15.73925155,39.7089569,1047806,749992,39.7089569,-
1110217,11101,1445,大宇,紡織纖維,135407,137076,78183,-1.217572733,73.19238198,135407,78183,73.19238198,訂單增加營業額成長
1110217,11101,1446,宏和,紡織纖維,12563,18881,29710,-33.46221069,-57.71457422,12563,29710,-57.71457422,因永和合建案已銷售完畢
1110217,11101,1447,力鵬,紡織纖維,1567857,1991636,1703830,-21.27793432,-7.98043232,1567857,1703830,-7.98043232,-
1110217,11101,1449,佳和,紡織纖維,203474,233086,139548,-12.70432373,45.80932726,203474,139548,45.80932726,-
1110217,11101,1451,年興,紡織纖維,669189,734906,542580,-8.942232068,23.33462347,669189,542580,23.33462347,-
1110217,11101,1452,宏益,紡織纖維,175169,191268,170473,-8.416985591,2.754688426,175169,170473,2.754688426,-
1110217,11101,1453,大將,建材營造,38,27924,15982,-99.86391634,-99.76223251,38,15982,-99.76223251,"本年營收較去年減少,係因去年出售營建土地金額較大所致"
1110217,11101,1454,台富,紡織纖維,153526,135245,120729,13.51695072,27.16580109,153526,120729,27.16580109,-
1110217,11101,1455,集盛,紡織纖維,913636,1030203,828749,-11.31495443,10.24278762,913636,828749,10.24278762,-
1110217,11101,1456,怡華,建材營造,53475,70721,66121,-24.38596739,-19.12554257,53475,66121,-19.12554257,-
1110217,11101,1457,宜進,紡織纖維,384718,342682,317026,12.26676627,21.35219193,384718,317026,21.35219193,-
1110217,11101,1459,聯發,紡織纖維,179979,189929,235665,-5.238799762,-23.62930431,179979,235665,-23.62930431,-
1110217,11101,1460,宏遠,紡織纖維,866114,1037359,792034,-16.50778564,9.35313383,866114,792034,9.35313383,-
1110217,11101,1463,強盛,紡織纖維,44170,44924,36696,-1.67839017,20.36734249,44170,36696,20.36734249,-
1110217,11101,1464,得力,紡織纖維,976510,1085357,868295,-10.02868181,12.46293023,976510,868295,12.46293023,-
